url,date,articles,cleaned_articles
https://www.gelderlander.nl/112-nieuws-veenendaal/fietser-overlijdt-na-harde-val-met-e-bike-in-veenendaal~a42cb066/,04/11/2024,"De man raakte op de Dr. Colijnstraat in Veenendaal onwel en kwam hard ten val. Â© AS Media
Fietser overlijdt na harde val met e-bike in Veenendaal
Een man is maandagmiddag overleden nadat hij onwel werd en viel tijdens het fietsen over de Dr. Colijnstraat in Veenendaal. De straat is vanwege het incident afgesloten voor verkeer.
Redactie 04-11-24, 15:20 Laatste update: 04-11-24, 18:50
De man kwam rond kwart over drie hard ten val met zijn elektrische fiets. Meerdere hulpverleners werden ingezet voor de reanimatie van het slachtoffer, maar ondanks alle inspanningen overleed de man ter plekke.
De plaats van het ongeval werd door de brandweer afgeschermd met een tent. Omdat er sprake is van een noodlottig ongeval zal er verder geen onderzoek plaatsvinden in de straat. De nabestaanden zijn door de politie in kennis gesteld.
Onderzoek van de politie heeft uitgewezen dat er geen sprake is geweest van een tweede partij of een misdrijf.",De man raakte op de Dr  Colijnstraat in Veenendaal onwel en kwam hard ten val     AS Media Fietser overlijdt na harde val met e bike in Veenendaal Een man is maandagmiddag overleden nadat hij onwel werd en viel tijdens het fietsen over de Dr  Colijnstraat in Veenendaal  De straat is vanwege het incident afgesloten voor verkeer  Redactie 04 11 24   Laatste update  04 11 24   De man kwam rond kwart over drie hard ten val met zijn elektrische fiets  Meerdere hulpverleners werden ingezet voor de reanimatie van het slachtoffer  maar ondanks alle inspanningen overleed de man ter plekke  De plaats van het ongeval werd door de brandweer afgeschermd met een tent  Omdat er sprake is van een noodlottig ongeval zal er verder geen onderzoek plaatsvinden in de straat  De nabestaanden zijn door de politie in kennis gesteld  Onderzoek van de politie heeft uitgewezen dat er geen sprake is geweest van een tweede partij of een misdrijf 
https://www.ad.nl/arnhem/automobilist-botst-op-fatbiker-aan-de-rosendaalsestraat-in-arnhem~acae13e94/,01/11/2024,"De persoon op de fatbike werd aan de Rosendaalsestraat in Arnhem geschept door een auto. Â© AS Media
Automobilist botst op fatbiker aan de Rosendaalsestraat in Arnhem
Een bestuurder van een fatbike is vrijdagochtend gewond geraakt bij een botsing op een rotonde aan de Rosendaalsestraat in Arnhem. De politie heeft de oorzaak van het ongeval nog in onderzoek.
112Redactie 01-11-24, 09:22 Laatste update: 01-11-24, 10:30
De fatbike reed op een oversteekplaats bij de rotonde met de Huijghenslaan en werd daar geschept door een automobilist. De fatbiker kwam door het ongeval ten val. Omstanders verleende eerste hulp tot de komst van een ambulanceteam. het slachtoffer is in een ambulance behandeld aan de opgelopen verwondingen. 
Over de oorzaak van het ongeval is nog niets bekend. De fatbike en auto liepen beide lichte schade op. ",De persoon op de fatbike werd aan de Rosendaalsestraat in Arnhem geschept door een auto     AS Media Automobilist botst op fatbiker aan de Rosendaalsestraat in Arnhem Een bestuurder van een fatbike is vrijdagochtend gewond geraakt bij een botsing op een rotonde aan de Rosendaalsestraat in Arnhem  De politie heeft de oorzaak van het ongeval nog in onderzoek  112Redactie 01 11 24   Laatste update  01 11 24   De fatbike reed op een oversteekplaats bij de rotonde met de Huijghenslaan en werd daar geschept door een automobilist  De fatbiker kwam door het ongeval ten val  Omstanders verleende eerste hulp tot de komst van een ambulanceteam  het slachtoffer is in een ambulance behandeld aan de opgelopen verwondingen   Over de oorzaak van het ongeval is nog niets bekend  De fatbike en auto liepen beide lichte schade op  
https://www.ad.nl/112-nieuws-den-haag/twee-gewonden-bij-ongeval-met-fatbike-in-den-haag~ab412a30/,27/10/2024,"00:51
Twee meisjes op fatbike hard ten val na botsing met auto
Twee gewonden bij ongeval met fatbike in Den Haag
MET VIDEOBij een ongeval tussen een fatbike en een bestelbus op de Hengelolaan zijn zondagavond twee personen gewond geraakt. De politie onderzoekt de oorzaak van de botsing.
112Redactie 27-10-24, 18:21 Laatste update: 27-10-24, 20:04
Door nog onbekende oorzaak zijn rond 18.20 uur een fatbike met twee opzittenden in botsing gekomen met een bestelbus. De twee dames kwamen hard ten val en liepen hierdoor verwondingen op. Beide opzittenden zijn gestabiliseerd en overgebracht naar een ziekenhuis voor verdere behandeling.
De fatbike en de auto raakten door het ongeval beschadigd. De politie heeft het ongeval in onderzoek en heeft de omgeving afgezet met linten.
De twee opzittenden van de fatbike raakten gewond bij de botsing in Den Haag. Â© District8", Twee meisjes op fatbike hard ten val na botsing met auto Twee gewonden bij ongeval met fatbike in Den Haag MET VIDEOBij een ongeval tussen een fatbike en een bestelbus op de Hengelolaan zijn zondagavond twee personen gewond geraakt  De politie onderzoekt de oorzaak van de botsing  112Redactie 27 10 24   Laatste update  27 10 24   Door nog onbekende oorzaak zijn rond 18 20 uur een fatbike met twee opzittenden in botsing gekomen met een bestelbus  De twee dames kwamen hard ten val en liepen hierdoor verwondingen op  Beide opzittenden zijn gestabiliseerd en overgebracht naar een ziekenhuis voor verdere behandeling  De fatbike en de auto raakten door het ongeval beschadigd  De politie heeft het ongeval in onderzoek en heeft de omgeving afgezet met linten  De twee opzittenden van de fatbike raakten gewond bij de botsing in Den Haag     District8
https://www.ad.nl/ede/fatbiker-gewond-bij-ongeval-op-de-arnold-koningstraat-in-ede~ad533a49/,27/10/2024,"De fatbiker raakte gewond tijdens het oversteken van de Arnold Koningstraat in Ede. Â© Persbureau Heitink
Fatbiker gewond bij ongeval op de Arnold Koningstraat in Ede
Een fatbiker is zondagavond gewond geraakt bij een ongeval met een automobilist. Het ongeval vond plaats op een oversteekplaats aan de Arnold Koningstraat in Ede.
112Redactie 27-10-24, 18:20 Laatste update: 27-10-24, 18:55
De persoon op de fatbike werd rond 18.20 uur geschept tijdens het oversteken. De fietser is behandeld in een ambulance en overgebracht naar een ziekenhuis. Een voorrangsfout van de automobilist is hoogstwaarschijnlijk de oorzaak van het ongeval, fietsers hebben op de oversteekplaats voorrang. 
De fatbike en de auto raakten beschadigd door het ongeval. Een deel van de weg was tijdelijk gestremd voor het overige verkeer. ",De fatbiker raakte gewond tijdens het oversteken van de Arnold Koningstraat in Ede     Persbureau Heitink Fatbiker gewond bij ongeval op de Arnold Koningstraat in Ede Een fatbiker is zondagavond gewond geraakt bij een ongeval met een automobilist  Het ongeval vond plaats op een oversteekplaats aan de Arnold Koningstraat in Ede  112Redactie 27 10 24   Laatste update  27 10 24   De persoon op de fatbike werd rond 18 20 uur geschept tijdens het oversteken  De fietser is behandeld in een ambulance en overgebracht naar een ziekenhuis  Een voorrangsfout van de automobilist is hoogstwaarschijnlijk de oorzaak van het ongeval  fietsers hebben op de oversteekplaats voorrang   De fatbike en de auto raakten beschadigd door het ongeval  Een deel van de weg was tijdelijk gestremd voor het overige verkeer  
https://www.ad.nl/112-nieuws-apeldoorn/ongeval-met-fatbike-op-wormenseweg-in-apeldoorn~ad97943b/,25/10/2024,"De fatbike raakte ligt beschadigd. Â© Luciano de Graaf/LDGFotografie
Ongeval met fatbike op Wormenseweg in Apeldoorn
Bij een ongeval met een fatbike op de 1e Wormenseweg in Apeldoorn zijn vrijdagmiddag mogelijk Ã©Ã©n of meerdere personen gewond geraakt.
112Redactie 25-10-24, 12:12 Laatste update: 25-10-24, 13:54
De eerste melding kwam ongeveer kwart over twaalf 's middags bij de alarmcentrale binnen. Over de oorzaak van het incident is nog niets bekend.",De fatbike raakte ligt beschadigd     Luciano de Graaf LDGFotografie Ongeval met fatbike op Wormenseweg in Apeldoorn Bij een ongeval met een fatbike op de 1e Wormenseweg in Apeldoorn zijn vrijdagmiddag mogelijk     n of meerdere personen gewond geraakt  112Redactie 25 10 24   Laatste update  25 10 24   De eerste melding kwam ongeveer kwart over twaalf  s middags bij de alarmcentrale binnen  Over de oorzaak van het incident is nog niets bekend 
https://www.ad.nl/112-nieuws-amstelveen/ongeluk-met-fatbike-op-grote-beer-in-amstelveen~a21c87a5/,25/10/2024,"Hoe het ongeluk precies kon gebeuren is onduidelijk. Â© RVP Media
Ongeluk met fatbike op Grote Beer in Amstelveen
Bij een ongeluk met een fatbike op de Grote Beer in Amstelveen zijn vrijdagochtend mogelijk Ã©Ã©n of meerdere personen gewond geraakt.
112Redactie 25-10-24, 11:52 Laatste update: 25-10-24, 13:23
Het ongeval gebeurde rond kwart voor twaalf 's ochtends. Over de oorzaak van het ongeval is nog niets bekend.",Hoe het ongeluk precies kon gebeuren is onduidelijk     RVP Media Ongeluk met fatbike op Grote Beer in Amstelveen Bij een ongeluk met een fatbike op de Grote Beer in Amstelveen zijn vrijdagochtend mogelijk     n of meerdere personen gewond geraakt  112Redactie 25 10 24   Laatste update  25 10 24   Het ongeval gebeurde rond kwart voor twaalf  s ochtends  Over de oorzaak van het ongeval is nog niets bekend 
https://www.ad.nl/almelo/auto-en-scooter-botsen-op-de-nieuwstraat-in-almelo-scooterrijder-vlucht-op-fatbike~aa80fec8/,25/10/2024,"Aanrijding tussen auto en scooter aan de Nieuwstraat in Almelo Â© Robbie Brummer / 112 Twente
Auto en scooter botsen op de Nieuwstraat in Almelo, scooterrijder vlucht op fatbike
Aan de Nieuwstraat in Almelo heeft vrijdagavond een ongeval plaatsgevonden. Een auto en een scooter zijn met elkaar in botsing gekomen.
Redactie 25-10-24, 22:09 Laatste update: 25-10-24, 22:15
Bij de aanrijding waren een personenauto en een scooter betrokken. Na het ongeval is de bestuurder van de scooter op een passerende fat-bike gesprongen en vervolgens gevlucht. De politie zoekt momenteel naar deze persoon in de omgeving van het ongeval.
Het is op dit moment niet bekend of de bestuurder van de scooter gewond is geraakt. De politie doet ter plaatse verder onderzoek. De scooter is meegenomen door de politie.
Bekijk hier onze laatste video's.",Aanrijding tussen auto en scooter aan de Nieuwstraat in Almelo    Robbie Brummer   112 Twente Auto en scooter botsen op de Nieuwstraat in Almelo  scooterrijder vlucht op fatbike Aan de Nieuwstraat in Almelo heeft vrijdagavond een ongeval plaatsgevonden  Een auto en een scooter zijn met elkaar in botsing gekomen  Redactie 25 10 24   Laatste update  25 10 24   Bij de aanrijding waren een personenauto en een scooter betrokken  Na het ongeval is de bestuurder van de scooter op een passerende fat bike gesprongen en vervolgens gevlucht  De politie zoekt momenteel naar deze persoon in de omgeving van het ongeval  Het is op dit moment niet bekend of de bestuurder van de scooter gewond is geraakt  De politie doet ter plaatse verder onderzoek  De scooter is meegenomen door de politie  Bekijk hier onze laatste video s 
https://www.ad.nl/112-nieuws-maassluis/automobilist-rijdt-door-na-aanrijding-met-fatbike-in-maassluis~a0796183/,23/10/2024,"De fatbiker raakte bij het ongeval in Maassluis gewond. Â© MediaTV
Automobilist rijdt door na aanrijding met fatbike in Maassluis
Een bestuurder van een fatbike is woensdagavond gewond geraakt bij een ongeval op een rotonde bij de Mozartlaan in Maassluis. De automobilist reed na het ongeval door en kon op een later moment staande gehouden worden.
112Redactie 23-10-24, 20:39 Laatste update: 23-10-24, 22:13
De automobilist en een fatbiker kwamen rond 20.40 uur in botsing op de rotonde tussen de Mozartlaan met de Westlandseweg. In plaats van te stoppen besloot de bestuurder om door te rijden. De bestuurder van de fatbike is voor verdere behandeling overgebracht naar een ziekenhuis.
Na enige tijd kwam de automobilist weer over de rotonde gereden, waarna de politie de bestuurder staande kon houden aan de Westlandseweg. Of de bestuurder is aangehouden door de politie, was nog niet bekend bij een woordvoerder. De politie heeft het ongeval in onderzoek.",De fatbiker raakte bij het ongeval in Maassluis gewond     MediaTV Automobilist rijdt door na aanrijding met fatbike in Maassluis Een bestuurder van een fatbike is woensdagavond gewond geraakt bij een ongeval op een rotonde bij de Mozartlaan in Maassluis  De automobilist reed na het ongeval door en kon op een later moment staande gehouden worden  112Redactie 23 10 24   Laatste update  23 10 24   De automobilist en een fatbiker kwamen rond 20 40 uur in botsing op de rotonde tussen de Mozartlaan met de Westlandseweg  In plaats van te stoppen besloot de bestuurder om door te rijden  De bestuurder van de fatbike is voor verdere behandeling overgebracht naar een ziekenhuis  Na enige tijd kwam de automobilist weer over de rotonde gereden  waarna de politie de bestuurder staande kon houden aan de Westlandseweg  Of de bestuurder is aangehouden door de politie  was nog niet bekend bij een woordvoerder  De politie heeft het ongeval in onderzoek 
https://www.ad.nl/breda/fatbiker-gewond-bij-botsing-met-bestelwagen-in-breda~ad2e4e9a/,23/10/2024,"Dempen opheffen
Fatbiker gewond bij botsing met bestelwagen in Breda
MET VIDEOBREDA - Een fatbike en een bestelwagen zijn woensdagavond tegen elkaar aangebotst in de Dr. Struyckenstraat in Breda. Daarbij raakte de bestuurder van de fatbike gewond. Hij werd in de ambulance gecontroleerd op zijn verwondingen.
Noa Wammes 23-10-24, 19:43 Laatste update: 23-10-24, 20:27
De bestuurder van de bestelwagen kwam met de schrik vrij. Doordat de voorvork van de fatbike dusdanig krom stond dat deze vast tegen het frame zat, kon de bestuurder niet verder rijden. Hoe het ongeluk kon gebeuren, is niet bekend.
Doordat de voorvork van de fatbike dusdanig krom stond dat deze vast tegen het frame zat, kon de bestuurder niet verder rijden. Â© Perry Roovers
De bestuurder van de fatbike werd in de ambulance gecontroleerd op mogelijke verwondingen. Â© Perry Roovers
Hoe het ongeluk kon gebeuren, is niet bekend. Â© Perry Roovers",Dempen opheffen Fatbiker gewond bij botsing met bestelwagen in Breda MET VIDEOBREDA   Een fatbike en een bestelwagen zijn woensdagavond tegen elkaar aangebotst in de Dr  Struyckenstraat in Breda  Daarbij raakte de bestuurder van de fatbike gewond  Hij werd in de ambulance gecontroleerd op zijn verwondingen  Noa Wammes 23 10 24   Laatste update  23 10 24   De bestuurder van de bestelwagen kwam met de schrik vrij  Doordat de voorvork van de fatbike dusdanig krom stond dat deze vast tegen het frame zat  kon de bestuurder niet verder rijden  Hoe het ongeluk kon gebeuren  is niet bekend  Doordat de voorvork van de fatbike dusdanig krom stond dat deze vast tegen het frame zat  kon de bestuurder niet verder rijden     Perry Roovers De bestuurder van de fatbike werd in de ambulance gecontroleerd op mogelijke verwondingen     Perry Roovers Hoe het ongeluk kon gebeuren  is niet bekend     Perry Roovers
https://www.gelderlander.nl/112-nieuws-renswoude/persoon-op-elektrische-fiets-gewond-na-botsing-met-auto-op-kastanjelaan-in-renswoude~a36dc5a0/,21/10/2024,"Een elektrische fietser is gewond geraakt na een botsing met een auto in Renswoude. Â© Persbureau Heitink
Persoon op elektrische fiets gewond na botsing met auto op Kastanjelaan in Renswoude
Een persoon op een elektrische fiets is maandagochtend gewond geraakt na een botsing met een auto op de Kastanjelaan in Renswoude. Dat gebeurde nadat de automobilist de fietser over het hoofd zag.
112Redactie 21-10-24, 06:55 Laatste update: 21-10-24, 07:49
Het ongeluk gebeurde kort voor 07.00 uur, toen de automobilist vanuit de Dorpstraat de Kastanjelaan insloeg. Daarbij zag de bestuurder de fietser over het hoofd. De fietser ramde de auto aan de zijkant, waarbij grote schade ontstond aan de elektrische fiets en de auto. 
Een ambulance kwam ter plaatse en behandelde de fietser ter plaatse aan zijn verwondingen. Daarna is hij naar het ziekenhuis overgebracht. 
De politie doet verder onderzoek naar het incident. ",Een elektrische fietser is gewond geraakt na een botsing met een auto in Renswoude     Persbureau Heitink Persoon op elektrische fiets gewond na botsing met auto op Kastanjelaan in Renswoude Een persoon op een elektrische fiets is maandagochtend gewond geraakt na een botsing met een auto op de Kastanjelaan in Renswoude  Dat gebeurde nadat de automobilist de fietser over het hoofd zag  112Redactie 21 10 24   Laatste update  21 10 24   Het ongeluk gebeurde kort voor 07 00 uur  toen de automobilist vanuit de Dorpstraat de Kastanjelaan insloeg  Daarbij zag de bestuurder de fietser over het hoofd  De fietser ramde de auto aan de zijkant  waarbij grote schade ontstond aan de elektrische fiets en de auto   Een ambulance kwam ter plaatse en behandelde de fietser ter plaatse aan zijn verwondingen  Daarna is hij naar het ziekenhuis overgebracht   De politie doet verder onderzoek naar het incident  
