province,avg_severity_bike,avg_severity_e_bike,count_bike,count_e_bike
Drenthe,0.16091603053435116,0.08173027989821884,38.0,11.0
Flevoland,0.19529262086514,0.04580152671755726,3.0,1.0
Friesland,0.17619313597716132,0.1505513146734521,164.0,6.0
Gelderland,0.17712905716215605,0.083593826496421,810.0,53.0
Groningen,0.12807463952502118,0.06870229007633588,7.0,1.0
Limburg,0.18689567430025447,0.029007633587786262,140.0,11.0
North Brabant,0.16012187632925548,0.029516539440203566,133.0,4.0
North Holland,0.17042413869703948,0.0,41.0,0.0
Overijssel,0.17229967307378338,0.09593228724908115,224.0,18.0
South Holland,0.10199321458863445,0.0489115069267741,26.0,3.0
Utrecht,0.1543505741501925,0.050890585241730284,94.0,6.0
Zeeland,0.16361323155216287,0.03206106870229008,14.0,1.0
